time_to_zero,rf_area,condition,stimulus,.
0.2558,5208.036708,1M,mesopic,
0.5713,6505.228008,1M,mesopic,
NA,16702.36079,1M,mesopic,
0.2724,46419.48305,1M,mesopic,
NA,3870.49335,1M,mesopic,
0.2545,17150.08454,1M,mesopic,
0.3036,5765.484827,1M,mesopic,
0.644904722,15293.51364,1M,mesopic,
0.4441,12426.07521,1M,mesopic,
0.4275,10518.21547,1M,mesopic,
0.407,14692.87352,1M,mesopic,
0.2267,18790.24219,1M,mesopic,
0.3075,21615.43313,1M,mesopic,
0.4196,16325.13735,1M,mesopic,
0.3698,14986.08921,1M,mesopic,
0.4845,15156.52882,1M,mesopic,
0.452,7099.702134,1M,mesopic,
0.348,16250.92023,1M,mesopic,
0.2618,20504.69195,1M,mesopic,
0.2499,22246.41935,1M,mesopic,
0.3354,13430.5605,1M,mesopic,
0.2651,7448.579759,1M,mesopic,
0.2691,27153.09088,1M,mesopic,
0.4374,15402.04072,1M,mesopic,
0.3387,14323.55263,1M,mesopic,
0.2611,6118.06279,1M,mesopic,
0.3221,7242.206181,1M,mesopic,
0.2572,4652.460236,1M,mesopic,
0.5521,4262.193798,1M,mesopic,
0.4249,15448.10106,1M,mesopic,
0.521,11802.81138,1M,mesopic,
0.3983,12083.85783,1M,mesopic,
0.3281,5824.012781,1M,mesopic,
0.346,5873.053712,1M,mesopic,
0.2366,5750.353369,1M,mesopic,
0.2379,7465.656417,1M,mesopic,
0.23,31340.32941,1M,mesopic,
0.2717,6986.304119,1M,mesopic,
0.3115,6624.385107,1M,mesopic,
0.3281,21705.83433,1M,mesopic,
0.3944,21225.55099,1M,mesopic,
0.3758,10334.66,1M,mesopic,
0.3857,6293.516532,1M,mesopic,
0.3142,4736.763946,1M,mesopic,
0.228,11461.84438,1M,mesopic,
0.4898,10640.5634,1M,mesopic,
0.4123,5472.499785,1M,mesopic,
0.2784,33522.73109,1M,mesopic,
0.3473,14870.21194,1M,mesopic,
0.3433,14469.21504,1M,mesopic,
0.4162,20165.49005,1M,mesopic,
0.4275,14389.98526,1M,mesopic,
0.3122,6446.192916,1M,mesopic,
0.3559,18310.57807,1M,mesopic,
0.3354,10060.10454,1M,mesopic,
0.5853,29172.23393,1M,mesopic,
0.5945,10691.21483,1M,mesopic,
0.642253521,5273.262128,1M,mesopic,
0.651532726,36611.02439,1M,mesopic,
0.4169,10568.85019,1M,mesopic,
0.2432,18967.12495,1M,mesopic,
0.603811102,11148.10593,1M,mesopic,
0.5879,37563.81785,1M,mesopic,
NA,21071.56564,1M,mesopic,
0.236,25467.0363,1M,mesopic,
0.2446,29641.62764,1M,mesopic,
0.4143,9576.184535,1M,mesopic,
0.4176,35959.87828,1M,mesopic,
0.3301,5987.724464,1M,mesopic,
0.3069,4469.330483,1M,mesopic,
0.5037,9748.97369,1M,mesopic,
0.2817,14505.01325,1M,mesopic,
0.4136,26838.18584,1M,mesopic,
0.3924,22196.00743,1M,mesopic,
0.3751,13190.97149,1M,mesopic,
0.3632,17929.58156,1M,mesopic,
0.4096,9327.932282,1M,mesopic,
0.3983,36283.41685,1M,mesopic,
0.3281,11638.1099,1M,mesopic,
0.4925,11519.30236,1M,mesopic,
0.2499,19340.36651,1M,mesopic,
0.2638,33271.85443,1M,mesopic,
0.2572,24314.22842,1M,mesopic,
0.3645,28843.29211,1M,mesopic,
0.3592,20303.46465,1M,mesopic,
0.2824,17492.63469,1M,mesopic,
0.3937,24256.65312,1M,mesopic,
0.3751,43204.33744,1M,mesopic,
0.4295,21859.97086,1M,mesopic,
0.4017,15366.52172,1M,mesopic,
0.2631,24029.4974,1M,mesopic,
0.4017,15997.03345,1M,mesopic,
0.1836,37046.71451,1M,mesopic,
0.1955,28298.07336,1M,mesopic,
0.2545,15950.22536,1M,mesopic,
0.399,42588.89979,1M,mesopic,
0.2585,43495.31356,1M,mesopic,
0.397,25402.42039,1M,mesopic,
0.3765,15104.20621,1M,mesopic,
0.3546,17590.0532,1M,mesopic,
0.3977,29186.9372,1M,mesopic,
0.4229,8241.279301,1M,mesopic,
0.3758,31151.97911,1M,mesopic,
0.3997,23057.16681,1M,mesopic,
0.5223,14063.3375,1M,mesopic,
0.3281,18925.31807,1M,mesopic,
0.3751,7871.148605,1M,mesopic,
0.5084,10314.36796,1M,mesopic,
0.3758,31836.54466,1M,mesopic,
0.4083,13737.62574,1M,mesopic,
0.2578,22815.7434,1M,mesopic,
0.35,16006.71057,1M,mesopic,
0.3427,16199.09533,1M,mesopic,
0.5548,23806.78852,1M,mesopic,
0.4905,16102.48606,1M,mesopic,
0.4434,14058.62595,1M,mesopic,
0.3407,12319.80526,1M,mesopic,
0.3109,9532.364239,1M,mesopic,
0.3705,16776.60289,1M,mesopic,
0.3181,12496.7255,1M,mesopic,
0.2081,19198.02949,1M,mesopic,
0.3891,19071.05843,1M,mesopic,
0.2532,27061.34377,1M,mesopic,
0.4242,5299.829907,1M,mesopic,
0.3758,20984.30349,1M,mesopic,
0.2863,18254.42652,1M,mesopic,
0.3453,12993.04138,1M,mesopic,
0.3387,5556.091159,1M,mesopic,
0.3466,17001.50469,1M,mesopic,
0.2625,8022.492376,1M,mesopic,
0.3791,25440.83629,1M,mesopic,
0.3771,21844.9108,1M,mesopic,
0.2512,8137.377146,1M,mesopic,
0.2366,18031.13023,1M,mesopic,
0.2505,29912.48247,1M,mesopic,
0.3148,10851.14665,1M,mesopic,
0.4063,20914.1854,1M,mesopic,
0.179,8998.066478,1M,mesopic,
0.232,7029.196124,1M,mesopic,
0.3997,13163.03214,1M,mesopic,
0.5925,12416.31607,1M,mesopic,
0.2181,30833.03268,1M,mesopic,
0.4467,17991.20457,1M,mesopic,
0.4295,11566.28519,1M,mesopic,
0.3871,15047.3884,1M,mesopic,
0.3579,17793.81485,1M,mesopic,
0.3652,39178.32446,1M,mesopic,
0.2419,26939.8696,1M,mesopic,
0.4103,22210.43805,1M,mesopic,
0.3619,13943.96219,1M,mesopic,
0.3877,21721.76894,1M,mesopic,
0.2254,15269.93209,1M,mesopic,
0.509,19516.02083,1M,mesopic,
0.3546,16726.36958,1M,mesopic,
0.3877,26925.49739,1M,mesopic,
0.4918,6823.834047,1M,mesopic,
0.2983,7804.904073,1M,mesopic,
0.2287,5082.523111,1M,mesopic,
0.5826,5244.738175,1M,mesopic,
0.622369511,18829.01409,1M,mesopic,
0.611101906,12606.43208,1M,mesopic,
0.3632,9285.922678,1M,mesopic,
0.4706,21837.15219,1M,mesopic,
0.3586,18470.43643,1M,mesopic,
0.3486,34089.27139,1M,mesopic,
0.3665,5448.316747,1M,mesopic,
0.2804,5172.650746,1M,mesopic,
0.2492,18211.40374,1M,mesopic,
0.3665,10328.74497,1M,mesopic,
0.2499,15097.91467,1M,mesopic,
0.4514,26129.26814,1M,mesopic,
0.3758,14376.26832,1M,mesopic,
0.5514,9076.086383,1M,mesopic,
0.3427,4523.233601,1M,mesopic,
0.3857,33907.76352,1M,mesopic,
0.4673,11487.58401,1M,mesopic,
0.3977,30215.67249,1M,mesopic,
0.236,36383.74501,1M,mesopic,
0.401,32380.72514,1M,mesopic,
0.3877,4952.4776,1M,mesopic,
0.2645,42593.31699,1M,mesopic,
0.3725,45316.86196,1M,mesopic,
0.3566,12518.21825,1M,mesopic,
0.3473,8099.954342,1M,mesopic,
0.3645,27026.60265,1M,mesopic,
0.2234,16685.94769,1M,mesopic,
0.3778,19545.51243,1M,mesopic,
0.226,19838.92697,1M,mesopic,
0.3506,50834.19255,1M,mesopic,
0.452,27509.41245,1M,mesopic,
0.4534,10988.30569,1M,mesopic,
NA,2620.393581,1M,mesopic,
0.5587,5112.587406,1M,mesopic,
0.2585,6327.167843,1M,mesopic,
0.4202,17503.34472,1M,mesopic,
0.3142,6073.73514,1M,mesopic,
0.3022,14658.09942,1M,mesopic,
0.4282,5690.344033,1M,mesopic,
0.4732,21692.08215,1M,mesopic,
0.4606,5004.230707,1M,mesopic,
NA,10316.08064,1M,mesopic,
0.3645,19459.60306,1M,mesopic,
0.3347,6633.72499,1M,mesopic,
0.2015,10928.22256,1M,mesopic,
0.4374,5659.588886,1M,mesopic,
0.407,7117.283262,1M,mesopic,
0.3844,11508.33559,1M,mesopic,
0.3983,16684.97677,1M,mesopic,
0.664788732,4699.144182,1M,mesopic,
0.2956,6763.168815,1M,mesopic,
0.3944,16214.82867,1M,mesopic,
0.4036,23824.46701,1M,mesopic,
0.3453,20060.27476,1M,mesopic,
NA,6227.63576,1M,mesopic,
0.224,10134.87956,1M,mesopic,
0.2645,22381.98218,1M,mesopic,
0.2916,5889.013967,1M,mesopic,
0.3877,16751.95582,1M,mesopic,
0.3857,6936.237153,1M,mesopic,
0.3254,7401.036772,1M,mesopic,
0.3572,13339.51846,1M,mesopic,
0.3698,21281.92786,1M,mesopic,
NA,9754.971571,1M,mesopic,
0.2989,10310.22963,1M,mesopic,
0.393,13571.0264,1M,mesopic,
0.4162,14443.32998,1M,mesopic,
0.2585,5194.157768,1M,mesopic,
0.3665,20570.11206,1M,mesopic,
0.3082,10363.10343,1M,mesopic,
