spkr,age,lightlevel,contrast,.
1.225200521,0,mesopic,2,
1.188717229,0,mesopic,2,
1.089800738,0,mesopic,2,
1.20472592,0,mesopic,2,
1.438849548,0,mesopic,2,
1.38994821,0,mesopic,2,
1.061192562,0,mesopic,2,
1.083993667,0,mesopic,2,
1.387365367,0,mesopic,2,
1.376939982,0,mesopic,2,
1.314623638,0,mesopic,2,
1.017101728,0,mesopic,2,
1.097029321,0,mesopic,2,
1.375591111,0,mesopic,2,
1.200323302,0,mesopic,2,
1.239429907,0,mesopic,2,
1.206612381,0,mesopic,2,
1.140199333,0,mesopic,2,
1.282453809,0,mesopic,2,
1.217666571,0,mesopic,2,
1.154670278,0,mesopic,2,
1.091188573,0,mesopic,2,
1.35536116,0,mesopic,2,
1.524149802,0,mesopic,2,
1.099792506,0,mesopic,2,
1.356540084,0,mesopic,2,
1.35118059,0,mesopic,2,
1.280423846,0,mesopic,2,
1.241467461,0,mesopic,2,
1.31226162,0,mesopic,2,
1.170443831,0,mesopic,2,
1.238986723,0,mesopic,2,
1.165385992,0,mesopic,2,
1.369742347,0,mesopic,2,
1.28210964,0,mesopic,2,
1.233232526,0,mesopic,2,
1.261681374,0,mesopic,2,
1.241130722,0,mesopic,2,
1.193019753,0,mesopic,2,
1.328862826,0,mesopic,2,
1.276593017,0,mesopic,2,
1.299422169,0,mesopic,2,
1.29261832,0,mesopic,2,
1.347440674,0,mesopic,2,
1.076143241,0,mesopic,2,
1.301826519,0,mesopic,2,
1.176189205,0,mesopic,2,
1.357182708,0,mesopic,2,
1.342128488,0,mesopic,2,
1.323651219,0,mesopic,2,
1.222435262,0,mesopic,2,
1.106362037,0,mesopic,2,
1.291013201,0,mesopic,2,
1.161534681,0,mesopic,2,
1.172133206,0,mesopic,2,
1.204295501,0,mesopic,2,
1.153122741,0,mesopic,2,
1.258021041,0,mesopic,2,
1.320012633,0,mesopic,2,
1.331767005,0,mesopic,2,
1.214896297,0,mesopic,2,
1.184770266,0,mesopic,2,
1.239603271,0,mesopic,2,
1.285729851,0,mesopic,2,
1.268122274,0,mesopic,2,
1.182832895,0,mesopic,2,
1.350850049,0,mesopic,2,
1.434594109,0,mesopic,2,
1.222364986,0,mesopic,2,
1.348293991,0,mesopic,2,
1.220327761,0,mesopic,2,
1.210972878,0,mesopic,2,
1.23147095,0,mesopic,2,
1.239147764,0,mesopic,2,
1.019790013,0,mesopic,2,
1.259357526,0,mesopic,2,
1.324289862,0,mesopic,2,
1.154705659,0,mesopic,2,
1.336245549,0,mesopic,2,
1.279804567,0,mesopic,2,
1.22902462,0,mesopic,2,
1.285408748,0,mesopic,2,
1.384269102,0,mesopic,2,
1.192913755,0,mesopic,2,
1.18869702,0,mesopic,2,
1.167205296,0,mesopic,2,
1.046646494,0,mesopic,2,
1.3798827,0,mesopic,2,
1.241510102,0,mesopic,2,
1.269884141,0,mesopic,2,
1.031245402,0,mesopic,2,
1.307061201,0,mesopic,2,
1.281281179,0,mesopic,2,
1.124955695,0,mesopic,2,
