time_to_zero,rf_area,condition,stimulus
0.1859,37566.7304078967,1M,photopic
0.2658,9373.74013528154,1M,photopic
0.2611,4886.76034949126,1M,photopic
0.1925,12692.8782419938,1M,photopic
0.1776,21937.6464386639,1M,photopic
0.1627,23188.3825342777,1M,photopic
0.2482,7326.84983059401,1M,photopic
0.1601,33508.3168704143,1M,photopic
0.1594,27352.5430103276,1M,photopic
0.1488,22936.8877927878,1M,photopic
0.168,29760.67123224,1M,photopic
0.1654,19561.7951831184,1M,photopic
0.1925,13700.996707675,1M,photopic
0.1627,7646.43861914406,1M,photopic
NA,12439.6665003632,1M,photopic
0.164,27873.9290996354,1M,photopic
0.1597,21580.9195671918,1M,photopic
0.1823,2798.06352498098,1M,photopic
0.2449,6164.03659514439,1M,photopic
0.1637,2312.62618755306,1M,photopic
0.1743,2601.21472588053,1M,photopic
0.1906,27914.2659529531,1M,photopic
0.2419,7954.02840340916,1M,photopic
0.2476,4704.19489634432,1M,photopic
0.1488,8847.18197349271,1M,photopic
0.2877,3607.52633896515,1M,photopic
0.1859,26024.9378706915,1M,photopic
0.1571,33722.9019339876,1M,photopic
0.314498757249379,7389.85302121173,1M,photopic
0.1982,1029.35611822726,1M,photopic
0.1846,23284.1865980209,1M,photopic
0.2121,8536.67851665173,1M,photopic
0.2287,12130.5154471869,1M,photopic
0.2214,16457.159700768,1M,photopic
0.2446,9394.06362752866,1M,photopic
0.2104,28990.5234116549,1M,photopic
0.1766,3674.70081108589,1M,photopic
0.2191,7405.24505143585,1M,photopic
0.1806,5070.50721033854,1M,photopic
0.1819,10131.6236091898,1M,photopic
0.1982,13808.8718432928,1M,photopic
0.1584,14773.0132480265,1M,photopic
0.1541,23697.0544628433,1M,photopic
0.1455,27005.1322049683,1M,photopic
0.1425,22808.3860489776,1M,photopic
0.1554,22077.4609963583,1M,photopic
0.178,5379.85877296178,1M,photopic
0.2403,3267.3818179805,1M,photopic
0.15310000000000001,16688.4926104316,1M,photopic
0.1442,18501.2902868835,1M,photopic
0.1362,4270.21513043806,1M,photopic
0.1551,1592.71107610754,1M,photopic
NA,887.439584375853,1M,photopic
0.497431648715824,1194.35598863506,1M,photopic
0.1488,21023.8068208268,1M,photopic
0.2071,7048.54861547504,1M,photopic
0.1432,23694.4331851677,1M,photopic
0.1349,16818.7017981907,1M,photopic
0.1816,10600.8814270679,1M,photopic
0.1349,17070.5617608904,1M,photopic
0.1753,11284.3080908207,1M,photopic
0.2525,17510.8735230251,1M,photopic
0.1498,17983.4479779991,1M,photopic
0.2267,2991.63157254401,1M,photopic
0.2005,10797.9314108822,1M,photopic
0.1369,13538.7626962243,1M,photopic
0.2572,3765.38836071872,1M,photopic
0.1564,14165.821129631,1M,photopic
0.1571,19277.957442301,1M,photopic
0.1654,25101.137552174,1M,photopic
0.1448,23455.2137328958,1M,photopic
0.224,10227.1499430083,1M,photopic
0.2147,13823.3192101039,1M,photopic
0.2505,9872.72009147638,1M,photopic
0.2273,10430.0672551228,1M,photopic
0.1528,20741.4158338066,1M,photopic
0.2134,8190.14712296627,1M,photopic
0.1746,26996.6351334894,1M,photopic
0.1382,21425.7217743965,1M,photopic
NA,618.768664726172,1M,photopic
0.1465,17149.239380629,1M,photopic
0.178,20013.0734478809,1M,photopic
0.1534,22954.0591146789,1M,photopic
0.2409,14994.0764830391,1M,photopic
0.233,11103.3114192717,1M,photopic
0.2078,10077.4788945251,1M,photopic
0.2012,10165.8913990448,1M,photopic
0.1475,16880.481181767,1M,photopic
0.1803,20163.0498846544,1M,photopic
0.1627,27626.4216797541,1M,photopic
0.15310000000000001,23150.9760388818,1M,photopic
0.1756,29162.8001889,1M,photopic
0.1614,11290.2237807305,1M,photopic
0.1843,23129.2920168331,1M,photopic
0.1521,23787.6194384242,1M,photopic
0.1485,24336.8072134499,1M,photopic
0.1766,8961.37744013226,1M,photopic
0.1621,5375.57784088097,1M,photopic
0.2393,1720.05597519134,1M,photopic
0.1955,14292.6828762126,1M,photopic
0.1647,13807.9570609569,1M,photopic
0.1435,14435.2307268913,1M,photopic
0.171,1434.99129905836,1M,photopic
0.1809,2653.02323080962,1M,photopic
0.222,1912.16106983056,1M,photopic
0.1505,23530.4344024934,1M,photopic
0.165,5362.60431802854,1M,photopic
0.1853,5374.38177360775,1M,photopic
0.1591,24779.4062196011,1M,photopic
0.1534,22666.6785884458,1M,photopic
0.1733,12701.3361879192,1M,photopic
0.1886,16441.8628541515,1M,photopic
0.2505,1738.55729506843,1M,photopic
0.497431648715824,1714.25573167727,1M,photopic
0.1677,5930.46552882202,1M,photopic
0.2191,9375.43650421512,1M,photopic
0.1561,10977.139629748,1M,photopic
0.1501,16437.2173915987,1M,photopic
0.2161,14332.7449232916,1M,photopic
0.291,10115.5906806889,1M,photopic
0.2071,18236.3296434218,1M,photopic
0.1511,20141.4504322807,1M,photopic
0.1551,18597.457970058502,1M,photopic
0.2655,9839.51083739304,1M,photopic
0.1766,8001.627474415,1M,photopic
0.2078,11865.5513888533,1M,photopic
0.2953,9873.21438574215,1M,photopic
0.1882,5308.4218337504,1M,photopic
NA,1728.55084805498,1M,photopic
0.1892,3383.4874319394,1M,photopic
0.1939,12484.8696016857,1M,photopic
0.1558,15346.1739431879,1M,photopic
0.1843,30999.6197634169,1M,photopic
0.2181,23713.4382904262,1M,photopic
0.1886,32580.0129760816,1M,photopic
0.1829,11655.3407099565,1M,photopic
0.2303,9899.2644400155,1M,photopic
0.2191,28135.6311083848,1M,photopic
0.1594,18829.6995468668,1M,photopic
0.2446,15015.2355837515,1M,photopic
0.2313,8421.57811961541,1M,photopic
0.2383,6778.04418360706,1M,photopic
0.2002,10514.8487566303,1M,photopic
0.2635,23050.1522663276,1M,photopic
0.23,7722.92189698231,1M,photopic
0.1501,19000.9531833966,1M,photopic
0.313173156586578,54360.2439696461,1M,photopic
