spikerate,info,index,genotype,months
17.6666666666667,16.7925471339072,559,Degenerative,1
37.4444444444444,29.0836709325217,563,Degenerative,1
9.88888888888889,10.1778323557433,68,Degenerative,2
20.6666666666667,6.09099759063483,78,Degenerative,2
4.33333333333333,5.63478371159321,89,Degenerative,2
43,10.4496926593862,90,Degenerative,2
15.8888888888889,7.51260463525703,92,Degenerative,2
4.22222222222222,6.37957348481086,101,Degenerative,2
31.5555555555556,9.77553746979558,103,Degenerative,2
8.77777777777778,5.79181087694853,111,Degenerative,2
25.3333333333333,9.42234746703871,114,Degenerative,2
13.1111111111111,10.4829425548108,119,Degenerative,2
3.33333333333333,6.19079421238616,120,Degenerative,2
7.55555555555556,8.23161221688814,122,Degenerative,2
8.55555555555556,5.63256295028926,130,Degenerative,2
31.2222222222222,6.07270831143561,131,Degenerative,2
13,6.58417096781132,132,Degenerative,2
6.22222222222222,6.12685752724413,133,Degenerative,2
14.4444444444444,14.8453441184985,134,Degenerative,2
17.6666666666667,9.80986475736649,135,Degenerative,2
8.44444444444444,7.54595364597105,147,Degenerative,2
4.44444444444444,6.72100540167953,167,Degenerative,2
2.88888888888889,5.82680598734427,176,Degenerative,2
4.33333333333333,5.91271468196234,270,Degenerative,2
46.6666666666667,11.289337465855,294,Degenerative,2
23,8.84403271563723,295,Degenerative,2
17.4444444444444,11.8357969657968,301,Degenerative,2
21.4444444444444,10.2220113513199,302,Degenerative,2
10.8888888888889,10.8924919208277,304,Degenerative,2
3.22222222222222,6.31471424694777,305,Degenerative,2
23.4444444444444,11.5179716918737,306,Degenerative,2
4.77777777777778,6.28545381794809,313,Degenerative,2
2.88888888888889,5.84496778680477,316,Degenerative,2
34.2222222222222,16.1231734892644,319,Degenerative,2
27.6666666666667,13.5217780871191,324,Degenerative,2
27.5555555555556,14.9119718382748,340,Degenerative,2
9.44444444444444,9.14233085944331,349,Degenerative,2
6.66666666666667,7.17295267785236,350,Degenerative,2
5.22222222222222,12.6824934514983,372,Degenerative,2
23.2222222222222,7.37201858356771,376,Degenerative,2
13.7777777777778,6.60276544158416,388,Degenerative,2
22.7777777777778,13.5806291317153,83,Degenerative,2
46.3333333333333,19.1873822077013,107,Degenerative,2
17.1111111111111,16.0483349708572,118,Degenerative,2
29.1111111111111,19.9257609636298,121,Degenerative,2
9.66666666666667,16.3721498412344,123,Degenerative,2
20.3333333333333,17.5935163808976,141,Degenerative,2
12.6666666666667,18.8802169714891,142,Degenerative,2
9,14.3897451778406,145,Degenerative,2
42.7777777777778,32.8256431619808,146,Degenerative,2
36.7777777777778,23.9787729406911,154,Degenerative,2
32.4444444444444,15.3989935938461,166,Degenerative,2
30.8888888888889,23.0579724328121,173,Degenerative,2
6.44444444444444,13.9314006287252,176,Degenerative,2
13.4444444444444,18.5832543356385,179,Degenerative,2
10.5555555555556,13.9967689723616,180,Degenerative,2
14,16.1798176381144,186,Degenerative,2
51.1111111111111,20.6900741781808,187,Degenerative,2
36.4444444444444,27.5359624548619,190,Degenerative,2
8.66666666666667,16.9856035167473,192,Degenerative,2
24.7777777777778,16.9412755889894,203,Degenerative,2
19.8888888888889,16.5075127352864,205,Degenerative,2
35.1111111111111,23.0580859010007,206,Degenerative,2
25,17.2941202809785,211,Degenerative,2
12.1111111111111,16.5556095034503,214,Degenerative,2
34.3333333333333,16.9213268818884,226,Degenerative,2
21.4444444444444,15.5130438102511,230,Degenerative,2
9,13.600149937967,232,Degenerative,2
34,22.3357858717831,234,Degenerative,2
12.6666666666667,14.6143712280388,239,Degenerative,2
7.55555555555556,14.6404652859282,245,Degenerative,2
25.5555555555556,20.3133531002222,248,Degenerative,2
18.6666666666667,15.0360358839783,264,Degenerative,2
22.7777777777778,17.4393746683418,269,Degenerative,2
24.4444444444444,16.7363364814236,271,Degenerative,2
25.3333333333333,16.7226852173928,276,Degenerative,2
16.6666666666667,13.5855750347762,283,Degenerative,2
33.2222222222222,19.7974150078141,285,Degenerative,2
14.8888888888889,15.385840226679,290,Degenerative,2
34.1111111111111,17.459825730686,292,Degenerative,2
19.3333333333333,15.9322470852261,296,Degenerative,2
21.8888888888889,17.9768599816983,300,Degenerative,2
17.3333333333333,16.5188728095775,306,Degenerative,2
23.2222222222222,16.1026059126474,309,Degenerative,2
25.1111111111111,15.3397690832044,317,Degenerative,2
17.8888888888889,17.7123853693433,318,Degenerative,2
21,15.44695196726,323,Degenerative,2
23.7777777777778,14.5345621612099,333,Degenerative,2
26.3333333333333,15.8410450484845,366,Degenerative,2
19,21.2359085784094,395,Degenerative,2
21.4444444444444,8.38571942491853,12,Degenerative,2
9.77777777777778,7.60441004034205,23,Degenerative,2
15.4444444444444,7.90624759035728,32,Degenerative,2
31.8888888888889,9.31415921695917,33,Degenerative,2
36.1111111111111,18.9925653192494,43,Degenerative,2
16.3333333333333,8.25904856995675,46,Degenerative,2
19,9.69434690169711,91,Degenerative,2
13.4444444444444,8.29187771210865,96,Degenerative,2
42.8888888888889,15.684780378539,102,Degenerative,2
29.4444444444444,19.5571733937421,110,Degenerative,2
17.5555555555556,19.7904831780954,111,Degenerative,2
18.2222222222222,16.5431371740358,119,Degenerative,2
5.11111111111111,7.86519907048282,125,Degenerative,2
4.22222222222222,9.83147355074818,137,Degenerative,2
9.11111111111111,13.055730061471,149,Degenerative,2
11.7777777777778,11.1001182083207,151,Degenerative,2
6.55555555555556,11.3562862498025,152,Degenerative,2
7,11.6556835055953,160,Degenerative,2
24.4444444444444,19.6353815115323,161,Degenerative,2
62.3333333333333,31.517763296846,162,Degenerative,2
20.2222222222222,18.0056591878856,170,Degenerative,2
5.77777777777778,7.69917295651219,171,Degenerative,2
9.88888888888889,11.0611722138837,174,Degenerative,2
8.66666666666667,10.8119574357277,176,Degenerative,2
14.7777777777778,12.1702062615878,189,Degenerative,2
57.6666666666667,20.9016670630803,208,Degenerative,2
4.11111111111111,8.42825040988836,247,Degenerative,2
37.5555555555556,10.5314095293511,248,Degenerative,2
29.3333333333333,24.8051100594411,262,Degenerative,2
11.1111111111111,10.8475531723355,268,Degenerative,2
66.2222222222222,32.8247969185215,315,Degenerative,2
8.55555555555556,8.90636932020377,316,Degenerative,2
30.5555555555556,24.3864432235805,324,Degenerative,2
8.66666666666667,9.12904907550587,325,Degenerative,2
3.44444444444444,7.29771206297115,331,Degenerative,2
4.88888888888889,7.11405561684077,342,Degenerative,2
17.1111111111111,16.5398402745626,359,Degenerative,2
42.6666666666667,13.0002951095058,373,Degenerative,2
9.33333333333333,8.78872470447098,375,Degenerative,2
20.3333333333333,16.1520891806072,387,Degenerative,2
29.4444444444444,12.1382199858414,389,Degenerative,2
30.3333333333333,18.2928032909456,390,Degenerative,2
39.5555555555556,13.6743833160431,400,Degenerative,2
4.77777777777778,8.68448920978444,404,Degenerative,2
42.4444444444444,16.9005828014417,406,Degenerative,2
68.4444444444444,26.4286011389961,413,Degenerative,2
3.33333333333333,7.11583334289795,415,Degenerative,2
21.1111111111111,17.3520009276306,419,Degenerative,2
4.33333333333333,8.4179963654929,420,Degenerative,2
22.5555555555556,17.7487677312348,431,Degenerative,2
23.7777777777778,17.658399728676,442,Degenerative,2
10.4444444444444,7.18286868692263,452,Degenerative,2
4.66666666666667,8.40417789201185,459,Degenerative,2
8,8.89064812648006,460,Degenerative,2
9.88888888888889,8.06555091831023,486,Degenerative,2
20.1111111111111,24.0043907610762,494,Degenerative,2
7,8.24303674936397,495,Degenerative,2
27.3333333333333,17.0297760770938,540,Degenerative,2
3.77777777777778,7.99831240371632,545,Degenerative,2
16.5555555555556,13.8759958211593,12,Degenerative,3
6,10.4877328617234,53,Degenerative,3
2.44444444444444,5.08280386086632,114,Degenerative,3
9.22222222222222,13.0157551748984,135,Degenerative,3
4,7.08017501901834,145,Degenerative,3
33.8888888888889,7.10161222554349,158,Degenerative,3
14,17.2304430360855,181,Degenerative,3
16,5.5366001060084296,218,Degenerative,3
8.22222222222222,5.27215408553925,226,Degenerative,3
7.11111111111111,5.62462976802359,227,Degenerative,3
18.3333333333333,15.0561185734959,244,Degenerative,3
25.7777777777778,7.87862634735282,256,Degenerative,3
22.5555555555556,9.51916699594923,257,Degenerative,3
11.4444444444444,9.28082666790745,263,Degenerative,3
36.3333333333333,18.2179081466449,264,Degenerative,3
5.44444444444444,5.42939222678994,265,Degenerative,3
3.44444444444444,6.13267219217496,269,Degenerative,3
2.77777777777778,5.53341340501132,273,Degenerative,3
8.88888888888889,8.1019730460538,284,Degenerative,3
6,7.23427156121794,294,Degenerative,3
17.6666666666667,13.3643037447524,301,Degenerative,3
10.6666666666667,6.19582111759786,310,Degenerative,3
9.33333333333333,7.20083709782076,313,Degenerative,3
18.3333333333333,15.6728177441182,320,Degenerative,3
35.4444444444444,11.982096934212,327,Degenerative,3
7.66666666666667,7.26570321575999,346,Degenerative,3
10,9.80442066203348,348,Degenerative,3
15,12.1527296422974,352,Degenerative,3
4.55555555555556,5.45219200738748,356,Degenerative,3
3.33333333333333,5.1740636945407,357,Degenerative,3
38.6666666666667,22.356290138877,361,Degenerative,3
4.55555555555556,9.50914963345162,369,Degenerative,3
14.3333333333333,11.6767700925257,393,Degenerative,3
7.66666666666667,6.96993738449983,406,Degenerative,3
2.88888888888889,6.33756625176307,420,Degenerative,3
46.7777777777778,23.0161573934027,422,Degenerative,3
8.88888888888889,9.13395208527692,425,Degenerative,3
8,9.58025485036344,435,Degenerative,3
4.66666666666667,5.12059220015894,441,Degenerative,3
2.11111111111111,5.28395511372945,442,Degenerative,3
6.55555555555556,7.55455461530661,450,Degenerative,3
3,6.61158970190246,453,Degenerative,3
2.55555555555556,5.65673425111488,458,Degenerative,3
6.22222222222222,11.7915090602293,461,Degenerative,3
2.33333333333333,5.29430635472827,466,Degenerative,3
14.3333333333333,14.300964921216,471,Degenerative,3
5.77777777777778,8.17710558742577,479,Degenerative,3
19.8888888888889,11.2224148929166,481,Degenerative,3
14.4444444444444,13.1682384587853,485,Degenerative,3
33.7777777777778,26.7859410792138,487,Degenerative,3
3.33333333333333,5.8531162823156,533,Degenerative,3
27,23.9679243982851,538,Degenerative,3
18.7777777777778,18.5776274997532,539,Degenerative,3
30.1111111111111,18.4592605970701,549,Degenerative,3
6.55555555555556,7.73375201984844,553,Degenerative,3
17.5555555555556,13.8622554675548,563,Degenerative,3
22.1111111111111,20.8145436290371,564,Degenerative,3
22.5555555555556,13.7707644240112,566,Degenerative,3
16.6666666666667,6.84254037826915,613,Degenerative,3
3.11111111111111,5.37669389761807,618,Degenerative,3
11,6.08229210125108,619,Degenerative,3
18.5555555555556,7.22065949262724,621,Degenerative,3
6.66666666666667,5.35263073306226,622,Degenerative,3
35.1111111111111,7.47983019716095,624,Degenerative,3
20,13.5867981282785,635,Degenerative,3
18.4444444444444,11.4550818166773,636,Degenerative,3
14.6666666666667,11.8777737085763,666,Degenerative,3
6.11111111111111,5.06415518327081,667,Degenerative,3
17,13.6847006681432,675,Degenerative,3
15.6666666666667,11.4420385418904,676,Degenerative,3
12.7777777777778,5.33262561613519,677,Degenerative,3
11.2222222222222,12.5021662666823,12,Degenerative,3
28,22.4602939797129,15,Degenerative,3
11.8888888888889,14.2819605906261,37,Degenerative,3
8.11111111111111,12.7340496967421,41,Degenerative,3
12.6666666666667,12.9814934731888,46,Degenerative,3
10.8888888888889,14.2955831689193,49,Degenerative,3
17.7777777777778,17.8236887809061,54,Degenerative,3
9.11111111111111,12.7003801614216,65,Degenerative,3
20.8888888888889,18.89275741705,107,Degenerative,3
21.6666666666667,14.7779502115613,115,Degenerative,3
11.3333333333333,13.1496214501126,116,Degenerative,3
40.1111111111111,12.9586778517092,118,Degenerative,3
15.4444444444444,16.7956987502359,123,Degenerative,3
20.6666666666667,19.4741786832121,126,Degenerative,3
28.1111111111111,21.6412749569996,148,Degenerative,3
10.7777777777778,13.0188990274959,150,Degenerative,3
14.4444444444444,14.7642910764712,182,Degenerative,3
15.8888888888889,15.340411930163,194,Degenerative,3
15.5555555555556,12.2954917945427,197,Degenerative,3
19.3333333333333,18.8409677875501,198,Degenerative,3
10.4444444444444,13.0651700362592,201,Degenerative,3
27.1111111111111,21.7123285110727,206,Degenerative,3
22.4444444444444,16.3498431400435,208,Degenerative,3
22.4444444444444,20.131662397178,209,Degenerative,3
28.8888888888889,21.0885463440672,210,Degenerative,3
14.3333333333333,12.9002399030268,214,Degenerative,3
