spikerate,info,index,genotype,months,.
8.888888889,18.49403208,371,Degenerative,1,
24.66666667,36.1007503,384,Degenerative,1,
15.77777778,23.49710395,390,Degenerative,1,
9.555555556,18.62402148,392,Degenerative,1,
13,21.52696592,405,Degenerative,1,
13.22222222,24.34785787,412,Degenerative,1,
16.44444444,26.93904166,427,Degenerative,1,
32.77777778,22.8997319,447,Degenerative,1,
11.33333333,16.88205447,94,Degenerative,1,
24.11111111,20.10960635,99,Degenerative,1,
26.11111111,18.70084081,239,Degenerative,1,
9.111111111,15.4426322,266,Degenerative,1,
17.55555556,23.66651964,277,Degenerative,1,
11.55555556,18.96984922,306,Degenerative,1,
18,26.81119797,314,Degenerative,1,
32.77777778,26.38844663,316,Degenerative,1,
10.11111111,17.19873483,322,Degenerative,1,
20.33333333,28.28307152,337,Degenerative,1,
29.88888889,29.53956691,345,Degenerative,1,
7.777777778,16.60966334,347,Degenerative,1,
11.22222222,18.88869348,358,Degenerative,1,
9,16.23034373,364,Degenerative,1,
10.44444444,19.37063219,366,Degenerative,1,
33.22222222,20.00255462,373,Degenerative,1,
9.666666667,17.0258703,377,Degenerative,1,
14.44444444,20.88380061,381,Degenerative,1,
24.55555556,18.02985708,385,Degenerative,1,
26.55555556,35.13337034,391,Degenerative,1,
14.88888889,24.1240564,396,Degenerative,1,
11.11111111,18.15111898,398,Degenerative,1,
10.88888889,18.68037505,401,Degenerative,1,
10,18.42123565,405,Degenerative,1,
9.444444444,16.10509081,435,Degenerative,1,
31.11111111,22.4774381,478,Degenerative,1,
30.22222222,40.2291443,37,Degenerative,1,
29.55555556,41.32839234,70,Degenerative,1,
38.77777778,48.78269107,84,Degenerative,1,
29.77777778,33.40319108,93,Degenerative,1,
35.44444444,48.43461924,96,Degenerative,1,
44,54.60114232,123,Degenerative,1,
42.22222222,42.5309179,143,Degenerative,1,
36.33333333,46.93412568,168,Degenerative,1,
20.33333333,28.30477419,182,Degenerative,1,
23.11111111,30.10942296,203,Degenerative,1,
35.88888889,46.52559402,210,Degenerative,1,
53,52.12689438,214,Degenerative,1,
37.66666667,47.18321987,218,Degenerative,1,
15.22222222,27.30211779,257,Degenerative,1,
31.55555556,41.55800182,279,Degenerative,1,
39.55555556,40.56323876,302,Degenerative,1,
23.55555556,33.18659124,325,Degenerative,1,
32.88888889,42.6267226,350,Degenerative,1,
38.44444444,50.86389516,371,Degenerative,1,
19.11111111,31.20898281,384,Degenerative,1,
37.33333333,48.6673163,422,Degenerative,1,
54.22222222,51.66881478,451,Degenerative,1,
32.44444444,45.41563107,456,Degenerative,1,
27.33333333,35.08952317,21,Degenerative,1,
36.66666667,44.23770142,39,Degenerative,1,
31.22222222,38.32857962,73,Degenerative,1,
36.77777778,41.55785694,81,Degenerative,1,
21.11111111,25.18096637,90,Degenerative,1,
40.22222222,43.34886625,96,Degenerative,1,
32,45.77231327,106,Degenerative,1,
13,25.03151765,123,Degenerative,1,
37.77777778,41.36267286,154,Degenerative,1,
19.55555556,23.69114365,159,Degenerative,1,
29.22222222,38.07105518,187,Degenerative,1,
26.33333333,30.88930394,209,Degenerative,1,
19.11111111,26.03347015,217,Degenerative,1,
40,40.44019019,226,Degenerative,1,
45.44444444,49.56191392,234,Degenerative,1,
38.88888889,40.6441332,237,Degenerative,1,
26.33333333,27.10921126,267,Degenerative,1,
36.55555556,39.12300194,313,Degenerative,1,
39.88888889,40.82401874,325,Degenerative,1,
18.77777778,23.73595924,340,Degenerative,1,
19.77777778,28.8927186,351,Degenerative,1,
37.88888889,37.96517195,405,Degenerative,1,
33.22222222,39.72379701,440,Degenerative,1,
49.44444444,52.49635239,458,Degenerative,1,
25.44444444,30.95507209,484,Degenerative,1,
22.77777778,27.87833952,76,Degenerative,2,
29.22222222,27.43278489,101,Degenerative,2,
9.222222222,15.46996953,106,Degenerative,2,
15.22222222,17.10805887,109,Degenerative,2,
16,14.34660366,120,Degenerative,2,
4.666666667,15.26090774,127,Degenerative,2,
8.777777778,16.12095055,135,Degenerative,2,
14.77777778,21.18140835,138,Degenerative,2,
8.777777778,17.08639533,160,Degenerative,2,
13,19.92176294,168,Degenerative,2,
35.44444444,35.86317727,185,Degenerative,2,
18.66666667,30.8010924,235,Degenerative,2,
5.222222222,13.25594809,322,Degenerative,2,
40.22222222,38.70188207,327,Degenerative,2,
29.88888889,40.33170186,336,Degenerative,2,
16.77777778,28.51377756,341,Degenerative,2,
41,44.49058516,347,Degenerative,2,
19.55555556,24.56736219,379,Degenerative,2,
27.44444444,29.01759514,384,Degenerative,2,
16.66666667,18.11382524,393,Degenerative,2,
5.111111111,11.0568499,75,Degenerative,2,
19.77777778,25.9642824,78,Degenerative,2,
5,13.53564188,108,Degenerative,2,
5,12.50808903,113,Degenerative,2,
27.55555556,24.96416957,119,Degenerative,2,
9.111111111,17.06108073,124,Degenerative,2,
8.444444444,11.15138464,144,Degenerative,2,
13.22222222,18.36110234,146,Degenerative,2,
13.66666667,16.52338172,167,Degenerative,2,
9.333333333,17.64472377,177,Degenerative,2,
7,11.46871903,185,Degenerative,2,
9,11.68301894,193,Degenerative,2,
7.444444444,17.69277009,244,Degenerative,2,
19,23.15984446,346,Degenerative,2,
34.88888889,37.10060969,349,Degenerative,2,
23.77777778,32.15179561,357,Degenerative,2,
9.444444444,19.50698009,362,Degenerative,2,
12.11111111,14.11859228,380,Degenerative,2,
11,18.29140406,397,Degenerative,2,
12.66666667,14.07943051,400,Degenerative,2,
24.11111111,17.55894077,415,Degenerative,2,
32.22222222,37.95378256,73,Degenerative,2,
21.88888889,30.98483612,107,Degenerative,2,
22.11111111,30.60108921,116,Degenerative,2,
37.77777778,37.62671895,163,Degenerative,2,
45.11111111,51.01243009,193,Degenerative,2,
29.66666667,36.9623526,200,Degenerative,2,
20.22222222,30.82198597,217,Degenerative,2,
27.11111111,33.35314562,229,Degenerative,2,
21.66666667,33.73812237,236,Degenerative,2,
25,33.78617673,248,Degenerative,2,
32.44444444,41.12723265,250,Degenerative,2,
31,37.67075451,265,Degenerative,2,
23.11111111,31.38661043,272,Degenerative,2,
22.66666667,31.08613005,276,Degenerative,2,
35,32.63211569,286,Degenerative,2,
26.22222222,34.26798,297,Degenerative,2,
30.44444444,34.73532893,299,Degenerative,2,
35.22222222,40.28350391,311,Degenerative,2,
31.55555556,38.55841385,320,Degenerative,2,
24.44444444,29.48659441,326,Degenerative,2,
42,49.16807368,328,Degenerative,2,
23.33333333,35.28397208,362,Degenerative,2,
21,33.52891889,385,Degenerative,2,
