info,num_trials,trial_length,condition,.
19.30836432,30,10,5M,
19.22399751,30,10,5M,
21.94763203,30,10,5M,
21.34827785,30,10,5M,
21.12625864,30,10,5M,
18.87794993,30,10,5M,
21.33977441,30,10,5M,
17.75798438,30,10,5M,
14.60283748,30,10,5M,
15.15830168,30,10,5M,
21.56670975,30,10,5M,
15.96458421,30,10,5M,
21.99404248,30,10,5M,
21.9225627,30,10,5M,
21.51051358,30,10,5M,
20.61604048,30,10,5M,
17.25072065,40,10,5M,
16.19636358,40,10,5M,
16.01398048,40,10,5M,
15.26114121,40,10,5M,
19.87883926,40,10,5M,
18.47779911,40,10,5M,
19.59411771,40,10,5M,
17.24949068,40,10,5M,
19.23267325,40,10,5M,
19.9935708,40,10,5M,
20.07661395,40,10,5M,
17.09796737,40,10,5M,
15.54782936,50,10,5M,
16.04773748,50,10,5M,
20.65390824,50,10,5M,
19.10874864,50,10,5M,
15.16425854,50,10,5M,
17.23995543,50,10,5M,
20.26951917,50,10,5M,
19.5216463,50,10,5M,
18.87681899,50,10,5M,
15.61527366,50,10,5M,
20.94477575,50,10,5M,
19.0033738,50,10,5M,
15.69106343,50,10,5M,
20.76080742,50,10,5M,
18.07235744,50,10,5M,
20.48855737,50,10,5M,
15.24927868,50,10,5M,
16.61682828,50,10,5M,
20.32515056,50,10,5M,
16.07796874,50,10,5M,
20.23174259,60,10,5M,
16.29688527,60,10,5M,
16.48302188,60,10,5M,
19.96160035,60,10,5M,
20.20805262,60,10,5M,
16.61618852,60,10,5M,
20.5670377,60,10,5M,
17.95608198,60,10,5M,
19.35808836,60,10,5M,
17.07073804,60,10,5M,
15.29681807,60,10,5M,
18.30412234,70,10,5M,
17.38166687,70,10,5M,
19.54948201,70,10,5M,
19.10118022,70,10,5M,
19.54374163,70,10,5M,
18.52622161,70,10,5M,
19.38134387,70,10,5M,
19.48624764,70,10,5M,
19.62958506,70,10,5M,
19.7997395,70,10,5M,
18.55048014,70,10,5M,
17.84540058,70,10,5M,
16.69267636,70,10,5M,
18.51296182,70,10,5M,
19.68421518,70,10,5M,
14.56454051,70,10,5M,
17.0994398,70,10,5M,
19.61264338,70,10,5M,
18.88851532,80,10,5M,
19.79853264,80,10,5M,
17.24993992,80,10,5M,
15.06551181,80,10,5M,
19.62013674,80,10,5M,
18.6034462,80,10,5M,
19.14753196,80,10,5M,
14.59102952,80,10,5M,
18.03327559,80,10,5M,
18.93475328,80,10,5M,
18.29669408,80,10,5M,
17.35262235,80,10,5M,
20.63749589,90,10,5M,
15.63454224,90,10,5M,
17.28366181,90,10,5M,
19.15737017,90,10,5M,
17.25443918,90,10,5M,
20.75065001,90,10,5M,
16.22352939,90,10,5M,
18.03078953,90,10,5M,
18.24770836,90,10,5M,
16.58455814,90,10,5M,
15.66260745,90,10,5M,
20.26271222,90,10,5M,
16.89597486,90,10,5M,
20.78121005,90,10,5M,
14.18783063,100,10,5M,
16.6841859,100,10,5M,
19.30600758,100,10,5M,
17.70659294,100,10,5M,
19.27867967,100,10,5M,
19.69678405,100,10,5M,
19.79679618,100,10,5M,
17.64840821,100,10,5M,
17.99449147,100,10,5M,
14.23715336,100,10,5M,
18.68601704,100,10,5M,
19.40759959,100,10,5M,
15.19713028,100,10,5M,
19.7999687,100,10,5M,
19.17361987,100,10,5M,
18.31625245,100,10,5M,
14.29951072,100,10,5M,
